"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/16/2020","AQS","560331003","1","3.9","ug/m3 LC","16","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/22/2020","AQS","560331003","1","7","ug/m3 LC","29","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/28/2020","AQS","560331003","1","2.5","ug/m3 LC","10","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/01/2020","AQS","560331003","11","1.6","ug/m3 LC","7","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/07/2020","AQS","560331003","11","1.9","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/13/2020","AQS","560331003","11","8.1","ug/m3 LC","34","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/19/2020","AQS","560331003","11","5.4","ug/m3 LC","23","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/25/2020","AQS","560331003","11","2.1","ug/m3 LC","9","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/31/2020","AQS","560331003","11","2","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/06/2020","AQS","560331003","11","2.8","ug/m3 LC","12","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/12/2020","AQS","560331003","11","2.6","ug/m3 LC","11","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/18/2020","AQS","560331003","11","4.3","ug/m3 LC","18","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/24/2020","AQS","560331003","11","1.8","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/01/2020","AQS","560331003","11","1.1","ug/m3 LC","5","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/07/2020","AQS","560331003","11","3.6","ug/m3 LC","15","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/13/2020","AQS","560331003","11","2","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/19/2020","AQS","560331003","11","9.8","ug/m3 LC","41","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/25/2020","AQS","560331003","11","2.2","ug/m3 LC","9","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/31/2020","AQS","560331003","11","1.9","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/04/2020","AQS","560370007","1","2.6","ug/m3 LC","11","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"01/16/2020","AQS","560370007","1","10.6","ug/m3 LC","44","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"01/22/2020","AQS","560370007","1","2.4","ug/m3 LC","10","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"01/28/2020","AQS","560370007","1","1.5","ug/m3 LC","6","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"02/03/2020","AQS","560370007","1","1.6","ug/m3 LC","7","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"02/09/2020","AQS","560370007","1","2.1","ug/m3 LC","9","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"02/15/2020","AQS","560370007","1","2.4","ug/m3 LC","10","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"02/21/2020","AQS","560370007","1","11","ug/m3 LC","46","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"02/27/2020","AQS","560370007","1","4","ug/m3 LC","17","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"03/04/2020","AQS","560370007","1","2.6","ug/m3 LC","11","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"03/10/2020","AQS","560370007","1","3.1","ug/m3 LC","13","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"03/16/2020","AQS","560370007","1","3.1","ug/m3 LC","13","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
"03/22/2020","AQS","560370007","1","2.9","ug/m3 LC","12","Rock Springs SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","40540","Rock Springs, WY","56","Wyoming","037","Sweetwater","41.5925362836364","-109.220852333074"
